,Nutrition,Years of Schooling,Maternal Health,Housing,Cooking Fuel,Bank Account,Sanitation,School Attendance,Assets,Electricity,Child & Adolescent Mortality
,,,,,,,,,,,
1,✅,❌,❌,❌,,,,,,,
,,,,,,,,,,,
3,✅,❌,❌,✅,,,,,,,
,,,,,,,,,,,
5,✅,❌,✅,❌,,,,,,,
6,,,,,,,,,,,
7,✅,❌,✅,✅,,,,,,,
8,,,,,,,,,,,
9,✅,❌,,,❌,❌,,,,,
,,,,,,,,,,,
11,✅,❌,,,❌,✅,,,,,
12,,,,,,,,,,,
13,✅,✅,,,❌,❌,,,,,
,,,,,,,,,,,
15,✅,✅,,,❌,✅,,,,,
,,,,,,,,,,,
17,❌,,,,✅,,❌,❌,,,
18,,,,,,,,,,,
19,❌,,,,✅,,❌,✅,,,
20,,,,,,,,,,,
21,✅,,,,✅,,❌,❌,,,
,,,,,,,,,,,
23,✅,,,,✅,,❌,✅,,,
,,,,,,,,,,,
25,❌,❌,,,,,,✅,❌,,
,,,,,,,,,,,
27,❌,✅,,,,,,✅,❌,,
,,,,,,,,,,,
29,✅,❌,,,,,,✅,❌,,
30,,,,,,,,,,,
31,✅,✅,,,,,,✅,❌,,
,,,,,,,,,,,
33,✅,❌,,,,,,,,❌,❌
,,,,,,,,,,,
35,✅,❌,,,,,,,,❌,✅
36,,,,,,,,,,,
37,✅,❌,,,,,,,,✅,❌
38,,,,,,,,,,,
39,✅,❌,,,,,,,,✅,✅
,,,,,,,,,,,
41,,✅,,,,❌,❌,,❌,,
42,,,,,,,,,,,
43,,✅,,,,❌,✅,,❌,,
,,,,,,,,,,,
45,,✅,,,,✅,❌,,❌,,
46,,,,,,,,,,,
47,,✅,,,,✅,✅,,❌,,
,,,,,,,,,,,
49,,,✅,❌,❌,❌,,,,,
,,,,,,,,,,,
51,,,✅,❌,❌,✅,,,,,
,,,,,,,,,,,
53,,,✅,❌,✅,❌,,,,,
54,,,,,,,,,,,
55,,,✅,❌,✅,✅,,,,,
,,,,,,,,,,,
57,,,✅,❌,,,❌,,,❌,
58,,,,,,,,,,,
59,,,✅,❌,,,✅,,,❌,
60,,,,,,,,,,,
61,,,✅,✅,,,❌,,,❌,
62,,,,,,,,,,,
63,,,✅,✅,,,✅,,,❌,
,,,,,,,,,,,
65,,,✅,,,,,❌,❌,❌,
,,,,,,,,,,,
67,,,✅,,,,,❌,✅,❌,
68,,,,,,,,,,,
69,,,✅,,,,,✅,❌,❌,
,,,,,,,,,,,
71,,,✅,,,,,✅,✅,❌,
,,,,,,,,,,,
73,,,❌,,❌,,,,,✅,❌
74,,,,,,,,,,,
75,,,❌,,✅,,,,,✅,❌
76,,,,,,,,,,,
77,,,✅,,❌,,,,,✅,❌
,,,,,,,,,,,
79,,,✅,,✅,,,,,✅,❌
,,,,,,,,,,,
81,,,,✅,,❌,,❌,,,❌
82,,,,,,,,,,,
83,,,,✅,,❌,,❌,,,✅
84,,,,,,,,,,,
85,,,,✅,,❌,,✅,,,❌
,,,,,,,,,,,
87,,,,✅,,❌,,✅,,,✅
,,,,,,,,,,,
89,,,,✅,❌,,❌,,❌,,
,,,,,,,,,,,
91,,,,✅,❌,,❌,,✅,,
,,,,,,,,,,,
93,,,,✅,❌,,✅,,❌,,
,,,,,,,,,,,
95,,,,✅,❌,,✅,,✅,,
,,,,,,,,,,,
97,,,,,,✅,❌,,,❌,❌
,,,,,,,,,,,
99,,,,,,✅,❌,,,✅,❌
100,,,,,,,,,,,
101,,,,,,✅,✅,,,❌,❌
,,,,,,,,,,,
103,,,,,,✅,✅,,,✅,❌
,,,,,,,,,,,
105,,,,,,✅,,❌,❌,,❌
,,,,,,,,,,,
107,,,,,,✅,,❌,❌,,✅
,,,,,,,,,,,
109,,,,,,✅,,❌,✅,,❌
,,,,,,,,,,,
111,,,,,,✅,,❌,✅,,✅
,,,,,,,,,,,
113,,,,,,,✅,,❌,❌,❌
114,,,,,,,,,,,
115,,,,,,,✅,,❌,❌,✅
116,,,,,,,,,,,
117,,,,,,,✅,,❌,✅,❌
,,,,,,,,,,,
119,,,,,,,✅,,❌,✅,✅
