,Nutrition,Years of Schooling,Maternal Health,Housing,Cooking Fuel,Bank Account,Sanitation,School Attendance,Assets,Electricity,Child & Adolescent Mortality
,,,,,,,,,,,
1,❌,✅,❌,❌,,,,,,,
,,,,,,,,,,,
3,❌,✅,❌,✅,,,,,,,
,,,,,,,,,,,
5,❌,✅,✅,❌,,,,,,,
6,,,,,,,,,,,
7,❌,✅,✅,✅,,,,,,,
,,,,,,,,,,,
9,❌,❌,,,✅,❌,,,,,
,,,,,,,,,,,
11,❌,❌,,,✅,✅,,,,,
,,,,,,,,,,,
13,❌,✅,,,✅,❌,,,,,
,,,,,,,,,,,
15,❌,✅,,,✅,✅,,,,,
,,,,,,,,,,,
17,❌,,,,❌,,✅,❌,,,
,,,,,,,,,,,
19,❌,,,,❌,,✅,✅,,,
20,,,,,,,,,,,
21,✅,,,,❌,,✅,❌,,,
,,,,,,,,,,,
23,✅,,,,❌,,✅,✅,,,
,,,,,,,,,,,
25,❌,❌,,,,,,❌,✅,,
,,,,,,,,,,,
27,❌,✅,,,,,,❌,✅,,
,,,,,,,,,,,
29,✅,❌,,,,,,❌,✅,,
,,,,,,,,,,,
31,✅,✅,,,,,,❌,✅,,
,,,,,,,,,,,
33,❌,✅,,,,,,,,❌,❌
,,,,,,,,,,,
35,❌,✅,,,,,,,,❌,✅
,,,,,,,,,,,
37,❌,✅,,,,,,,,✅,❌
,,,,,,,,,,,
39,❌,✅,,,,,,,,✅,✅
,,,,,,,,,,,
41,,❌,,,,❌,❌,,✅,,
,,,,,,,,,,,
43,,❌,,,,❌,✅,,✅,,
44,,,,,,,,,,,
45,,❌,,,,✅,❌,,✅,,
,,,,,,,,,,,
47,,❌,,,,✅,✅,,✅,,
,,,,,,,,,,,
49,,,❌,✅,❌,❌,,,,,
,,,,,,,,,,,
51,,,❌,✅,❌,✅,,,,,
,,,,,,,,,,,
53,,,❌,✅,✅,❌,,,,,
,,,,,,,,,,,
55,,,❌,✅,✅,✅,,,,,
,,,,,,,,,,,
57,,,❌,❌,,,❌,,,✅,
,,,,,,,,,,,
59,,,❌,❌,,,✅,,,✅,
60,,,,,,,,,,,
61,,,❌,✅,,,❌,,,✅,
62,,,,,,,,,,,
63,,,❌,✅,,,✅,,,✅,
,,,,,,,,,,,
65,,,❌,,,,,❌,❌,✅,
,,,,,,,,,,,
67,,,❌,,,,,❌,✅,✅,
,,,,,,,,,,,
69,,,❌,,,,,✅,❌,✅,
,,,,,,,,,,,
71,,,❌,,,,,✅,✅,✅,
,,,,,,,,,,,
73,,,❌,,❌,,,,,❌,✅
,,,,,,,,,,,
75,,,❌,,✅,,,,,❌,✅
,,,,,,,,,,,
77,,,✅,,❌,,,,,❌,✅
,,,,,,,,,,,
79,,,✅,,✅,,,,,❌,✅
,,,,,,,,,,,
81,,,,❌,,✅,,❌,,,❌
,,,,,,,,,,,
83,,,,❌,,✅,,❌,,,✅
,,,,,,,,,,,
85,,,,❌,,✅,,✅,,,❌
86,,,,,,,,,,,
87,,,,❌,,✅,,✅,,,✅
,,,,,,,,,,,
89,,,,❌,✅,,❌,,❌,,
,,,,,,,,,,,
91,,,,❌,✅,,❌,,✅,,
,,,,,,,,,,,
93,,,,❌,✅,,✅,,❌,,
,,,,,,,,,,,
95,,,,❌,✅,,✅,,✅,,
,,,,,,,,,,,
97,,,,,,❌,❌,,,❌,✅
,,,,,,,,,,,
99,,,,,,❌,❌,,,✅,✅
,,,,,,,,,,,
101,,,,,,❌,✅,,,❌,✅
,,,,,,,,,,,
103,,,,,,❌,✅,,,✅,✅
,,,,,,,,,,,
105,,,,,,❌,,✅,❌,,❌
,,,,,,,,,,,
107,,,,,,❌,,✅,❌,,✅
,,,,,,,,,,,
109,,,,,,❌,,✅,✅,,❌
,,,,,,,,,,,
111,,,,,,❌,,✅,✅,,✅
,,,,,,,,,,,
113,,,,,,,❌,,✅,❌,❌
114,,,,,,,,,,,
115,,,,,,,❌,,✅,❌,✅
116,,,,,,,,,,,
117,,,,,,,❌,,✅,✅,❌
,,,,,,,,,,,
119,,,,,,,❌,,✅,✅,✅
