Pair s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11
1 1 1 −1 −1 0 0 0 0 0 0 0 −1 −1 −1 −1 0 0 0 0 0 0 0
2 1 −1 −1 −1 0 0 0 0 0 0 0 −1 1 −1 −1 0 0 0 0 0 0 0
3 1 1 −1 1 0 0 0 0 0 0 0 −1 −1 −1 1 0 0 0 0 0 0 0
4 1 −1 −1 1 0 0 0 0 0 0 0 −1 1 −1 1 0 0 0 0 0 0 0
5 1 1 1 −1 0 0 0 0 0 0 0 −1 −1 1 −1 0 0 0 0 0 0 0
6 1 −1 1 −1 0 0 0 0 0 0 0 −1 1 1 −1 0 0 0 0 0 0 0
7 1 1 1 1 0 0 0 0 0 0 0 −1 −1 1 1 0 0 0 0 0 0 0
8 1 −1 1 1 0 0 0 0 0 0 0 −1 1 1 1 0 0 0 0 0 0 0
9 1 −1 0 0 1 −1 0 0 0 0 0 −1 −1 0 0 −1 −1 0 0 0 0 0
10 1 −1 0 0 −1 −1 0 0 0 0 0 −1 −1 0 0 1 −1 0 0 0 0 0
11 1 −1 0 0 1 1 0 0 0 0 0 −1 −1 0 0 −1 1 0 0 0 0 0
12 1 −1 0 0 −1 1 0 0 0 0 0 −1 −1 0 0 1 1 0 0 0 0 0
13 1 1 0 0 1 −1 0 0 0 0 0 −1 1 0 0 −1 −1 0 0 0 0 0
14 1 1 0 0 −1 −1 0 0 0 0 0 −1 1 0 0 1 −1 0 0 0 0 0
15 1 1 0 0 1 1 0 0 0 0 0 −1 1 0 0 −1 1 0 0 0 0 0
16 1 1 0 0 −1 1 0 0 0 0 0 −1 1 0 0 1 1 0 0 0 0 0
17 −1 0 0 0 1 0 1 −1 0 0 0 −1 0 0 0 −1 0 −1 −1 0 0 0
18 −1 0 0 0 1 0 −1 −1 0 0 0 −1 0 0 0 −1 0 1 −1 0 0 0
19 −1 0 0 0 1 0 1 1 0 0 0 −1 0 0 0 −1 0 −1 1 0 0 0
20 −1 0 0 0 1 0 −1 1 0 0 0 −1 0 0 0 −1 0 1 1 0 0 0
21 1 0 0 0 1 0 1 −1 0 0 0 1 0 0 0 −1 0 −1 −1 0 0 0
22 1 0 0 0 1 0 −1 −1 0 0 0 1 0 0 0 −1 0 1 −1 0 0 0
23 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 −1 0 −1 1 0 0 0
24 1 0 0 0 1 0 −1 1 0 0 0 1 0 0 0 −1 0 1 1 0 0 0
25 −1 −1 0 0 0 0 0 1 1 0 0 −1 −1 0 0 0 0 0 −1 −1 0 0
26 −1 −1 0 0 0 0 0 1 −1 0 0 −1 −1 0 0 0 0 0 −1 1 0 0
27 −1 1 0 0 0 0 0 1 1 0 0 −1 1 0 0 0 0 0 −1 −1 0 0
28 −1 1 0 0 0 0 0 1 −1 0 0 −1 1 0 0 0 0 0 −1 1 0 0
29 1 −1 0 0 0 0 0 1 1 0 0 1 −1 0 0 0 0 0 −1 −1 0 0
30 1 −1 0 0 0 0 0 1 −1 0 0 1 −1 0 0 0 0 0 −1 1 0 0
31 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 −1 −1 0 0
32 1 1 0 0 0 0 0 1 −1 0 0 1 1 0 0 0 0 0 −1 1 0 0
33 1 1 0 0 0 0 0 0 0 −1 −1 −1 −1 0 0 0 0 0 0 0 −1 −1
34 1 −1 0 0 0 0 0 0 0 −1 −1 −1 1 0 0 0 0 0 0 0 −1 −1
35 1 1 0 0 0 0 0 0 0 −1 1 −1 −1 0 0 0 0 0 0 0 −1 1
36 1 −1 0 0 0 0 0 0 0 −1 1 −1 1 0 0 0 0 0 0 0 −1 1
37 1 1 0 0 0 0 0 0 0 1 −1 −1 −1 0 0 0 0 0 0 0 1 −1
38 1 −1 0 0 0 0 0 0 0 1 −1 −1 1 0 0 0 0 0 0 0 1 −1
39 1 1 0 0 0 0 0 0 0 1 1 −1 −1 0 0 0 0 0 0 0 1 1
40 1 −1 0 0 0 0 0 0 0 1 1 −1 1 0 0 0 0 0 0 0 1 1
41 0 1 0 0 0 −1 −1 0 1 0 0 0 −1 0 0 0 −1 −1 0 −1 0 0
42 0 1 0 0 0 −1 −1 0 −1 0 0 0 −1 0 0 0 −1 −1 0 1 0 0
43 0 1 0 0 0 −1 1 0 1 0 0 0 −1 0 0 0 −1 1 0 −1 0 0
44 0 1 0 0 0 −1 1 0 −1 0 0 0 −1 0 0 0 −1 1 0 1 0 0
45 0 1 0 0 0 1 −1 0 1 0 0 0 −1 0 0 0 1 −1 0 −1 0 0
46 0 1 0 0 0 1 −1 0 −1 0 0 0 −1 0 0 0 1 −1 0 1 0 0
47 0 1 0 0 0 1 1 0 1 0 0 0 −1 0 0 0 1 1 0 −1 0 0
48 0 1 0 0 0 1 1 0 −1 0 0 0 −1 0 0 0 1 1 0 1 0 0
49 0 0 1 1 −1 −1 0 0 0 0 0 0 0 −1 −1 −1 −1 0 0 0 0 0
50 0 0 1 −1 −1 −1 0 0 0 0 0 0 0 −1 1 −1 −1 0 0 0 0 0
51 0 0 1 1 −1 1 0 0 0 0 0 0 0 −1 −1 −1 1 0 0 0 0 0
52 0 0 1 −1 −1 1 0 0 0 0 0 0 0 −1 1 −1 1 0 0 0 0 0
53 0 0 1 1 1 −1 0 0 0 0 0 0 0 −1 −1 1 −1 0 0 0 0 0
54 0 0 1 −1 1 −1 0 0 0 0 0 0 0 −1 1 1 −1 0 0 0 0 0
55 0 0 1 1 1 1 0 0 0 0 0 0 0 −1 −1 1 1 0 0 0 0 0
56 0 0 1 −1 1 1 0 0 0 0 0 0 0 −1 1 1 1 0 0 0 0 0
57 0 0 1 −1 0 0 −1 0 0 1 0 0 0 −1 −1 0 0 −1 0 0 −1 0
58 0 0 1 −1 0 0 −1 0 0 −1 0 0 0 −1 −1 0 0 −1 0 0 1 0
59 0 0 1 −1 0 0 1 0 0 1 0 0 0 −1 −1 0 0 1 0 0 −1 0
60 0 0 1 −1 0 0 1 0 0 −1 0 0 0 −1 −1 0 0 1 0 0 1 0
61 0 0 1 1 0 0 −1 0 0 1 0 0 0 −1 1 0 0 −1 0 0 −1 0
62 0 0 1 1 0 0 −1 0 0 −1 0 0 0 −1 1 0 0 −1 0 0 1 0
63 0 0 1 1 0 0 1 0 0 1 0 0 0 −1 1 0 0 1 0 0 −1 0
64 0 0 1 1 0 0 1 0 0 −1 0 0 0 −1 1 0 0 1 0 0 1 0
65 0 0 1 0 0 0 0 −1 −1 1 0 0 0 −1 0 0 0 0 −1 −1 −1 0
66 0 0 1 0 0 0 0 −1 −1 −1 0 0 0 −1 0 0 0 0 −1 −1 1 0
67 0 0 1 0 0 0 0 −1 1 1 0 0 0 −1 0 0 0 0 −1 1 −1 0
68 0 0 1 0 0 0 0 −1 1 −1 0 0 0 −1 0 0 0 0 −1 1 1 0
69 0 0 1 0 0 0 0 1 −1 1 0 0 0 −1 0 0 0 0 1 −1 −1 0
70 0 0 1 0 0 0 0 1 −1 −1 0 0 0 −1 0 0 0 0 1 −1 1 0
71 0 0 1 0 0 0 0 1 1 1 0 0 0 −1 0 0 0 0 1 1 −1 0
72 0 0 1 0 0 0 0 1 1 −1 0 0 0 −1 0 0 0 0 1 1 1 0
73 0 0 −1 0 −1 0 0 0 0 1 1 0 0 −1 0 −1 0 0 0 0 −1 −1
74 0 0 −1 0 −1 0 0 0 0 1 −1 0 0 −1 0 −1 0 0 0 0 −1 1
75 0 0 −1 0 1 0 0 0 0 1 1 0 0 −1 0 1 0 0 0 0 −1 −1
76 0 0 −1 0 1 0 0 0 0 1 −1 0 0 −1 0 1 0 0 0 0 −1 1
77 0 0 1 0 −1 0 0 0 0 1 1 0 0 1 0 −1 0 0 0 0 −1 −1
78 0 0 1 0 −1 0 0 0 0 1 −1 0 0 1 0 −1 0 0 0 0 −1 1
79 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 −1 −1
80 0 0 1 0 1 0 0 0 0 1 −1 0 0 1 0 1 0 0 0 0 −1 1
81 0 0 0 1 0 1 0 −1 0 0 −1 0 0 0 −1 0 −1 0 −1 0 0 −1
82 0 0 0 1 0 −1 0 −1 0 0 −1 0 0 0 −1 0 1 0 −1 0 0 −1
83 0 0 0 1 0 1 0 −1 0 0 1 0 0 0 −1 0 −1 0 −1 0 0 1
84 0 0 0 1 0 −1 0 −1 0 0 1 0 0 0 −1 0 1 0 −1 0 0 1
